pair_bytes,config,input_bytes,sim_time_ns,algbw_gbps,pause,resume,max_qlen_bytes,nic_mean_gbps,nic_peak_gbps,paced_pct,unshapeable_pct,nic_interval_ns,qlen_rows,wall_s
1073741824,milp,4294967296,526499921,32.6303,0,0,128708,,,0.0,,1000000,0,428.8
1073741824,baseline,4294967296,368354382,46.6395,0,0,207520,,,0.0,,1000000,0,351.1
1073741824,all,4294967296,381538228,45.0279,0,0,278364,,,100.0,,1000000,0,368.2
1073741824,flowId+nic,4294967296,350169862,49.0615,0,0,203688,,,0.0,,1000000,0,368.5
1073741824,rate,4294967296,368280011,46.6489,0,0,203492,,,100.0,,1000000,0,357.0
1073741824,noRate,4294967296,381636372,45.0163,0,0,286668,,,0.0,,1000000,0,368.7
1073741824,noNetDeps,4294967296,353324115,48.6235,0,0,191292,,,100.0,,1000000,0,379.2
4294967296,milp,17179869184,2104872421,32.6478,0,0,128708,,,0.0,,5000000,0,1708.1
4294967296,baseline,17179869184,1470768886,46.7235,0,0,207520,,,0.0,,5000000,0,1403.7
4294967296,all,17179869184,1492953266,46.0292,0,0,290940,,,100.0,,5000000,0,1516.5
4294967296,flowId+nic,17179869184,1400766377,49.0585,0,0,203748,,,0.0,,5000000,0,1468.4
4294967296,rate,17179869184,1473923577,46.6235,0,0,215816,,,100.0,,5000000,0,1411.8
4294967296,noRate,17179869184,1524453379,45.0781,0,0,286788,,,0.0,,5000000,0,1485.6
4294967296,noNetDeps,17179869184,1400812761,49.0569,0,0,182868,,,100.0,,5000000,0,1509.1
