pair_bytes,config,input_bytes,sim_time_ns,algbw_gbps,pause,resume,max_qlen_bytes,nic_mean_gbps,nic_peak_gbps,paced_pct,unshapeable_pct,nic_interval_ns,qlen_rows,wall_s
268435456,milp,536870912,78667602,13.6491,0,0,24888,13.84,29.25,0.0,,100000,0,17.3
268435456,baseline,536870912,49773550,21.5725,0,0,49776,21.87,50.85,0.0,,100000,0,13.9
268435456,all,536870912,40042492,26.8151,0,0,4152,27.19,55.9,100.0,,100000,0,12.7
268435456,flowId+nic,536870912,40042492,26.8151,0,0,4152,27.19,55.9,0.0,,100000,0,12.5
268435456,rate,536870912,49904762,21.5158,0,0,49776,21.79,50.52,100.0,,100000,0,14.1
268435456,noRate,536870912,40042492,26.8151,0,0,4152,27.19,55.9,0.0,,100000,0,12.5
268435456,noNetDeps,536870912,40042492,26.8151,0,0,4152,27.19,55.9,100.0,,100000,0,12.6
1073741824,milp,2147483648,314670930,13.6491,0,0,24888,13.83,27.92,0.0,,500000,0,45.6
1073741824,baseline,2147483648,199085165,21.5735,0,0,49776,21.84,49.59,0.0,,500000,0,54.5
1073741824,all,2147483648,160169980,26.8151,0,0,4152,27.17,54.84,100.0,,500000,0,48.9
1073741824,flowId+nic,2147483648,160169980,26.8151,0,0,4152,27.17,54.84,0.0,,500000,0,49.4
1073741824,rate,2147483648,199612120,21.5166,0,0,49776,21.79,49.45,100.0,,500000,0,56.4
1073741824,noRate,2147483648,160169980,26.8151,0,0,4152,27.17,54.84,0.0,,500000,0,48.7
1073741824,noNetDeps,2147483648,160169980,26.8151,0,0,4152,27.17,54.84,100.0,,500000,0,47.9
4294967296,milp,8589934592,1258684242,13.6491,0,0,24888,13.83,27.79,0.0,,2000000,0,182.2
4294967296,baseline,8589934592,796330990,21.5738,0,0,49776,21.84,49.29,0.0,,2000000,0,210.0
4294967296,all,8589934592,640679932,26.8151,0,0,4152,27.17,54.61,100.0,,2000000,0,194.9
4294967296,flowId+nic,8589934592,640679932,26.8151,0,0,4152,27.17,54.61,0.0,,2000000,0,199.5
4294967296,rate,8589934592,798440570,21.5168,0,0,49776,21.79,49.17,100.0,,2000000,0,221.7
4294967296,noRate,8589934592,640679932,26.8151,0,0,4152,27.17,54.61,0.0,,2000000,0,194.3
4294967296,noNetDeps,8589934592,640679932,26.8151,0,0,4152,27.17,54.61,100.0,,2000000,0,200.5
