sw_id,port_id,q_id,max_qlen_bytes
8,0,3,87252
8,1,3,274332
8,2,3,66432
8,3,3,70644
9,0,3,8304
9,2,3,54036
9,3,3,45672
10,0,3,4152
10,1,3,4152
11,0,3,4152
11,1,3,4152
