time_ns,node_id,port_id,q_id,bytes,op
189384,2,0,,,pause
189395,1,0,,,resume
189456,1,0,,,pause
189467,3,0,,,pause
189467,2,0,,,resume
189467,2,0,,,pause
189467,3,0,,,resume
189633,3,0,,,pause
189633,2,0,,,resume
189633,2,0,,,pause
189716,3,0,,,resume
189716,3,0,,,pause
189716,3,0,,,resume
189799,3,0,,,pause
189882,3,0,,,resume
189882,3,0,,,pause
190048,3,0,,,resume
190048,3,0,,,pause
191044,0,0,,,resume
191293,1,0,,,resume
191448,2,0,,,resume
191802,3,0,,,resume
196439,0,0,,,pause
196439,0,0,,,resume
196677,0,0,,,pause
196677,0,0,,,resume
196677,0,0,,,pause
196677,0,0,,,resume
196760,0,0,,,pause
196843,0,0,,,resume
196843,0,0,,,pause
196854,1,0,,,pause
196854,1,0,,,resume
196998,2,0,,,pause
197020,0,0,,,resume
197020,1,0,,,pause
197020,0,0,,,pause
197031,1,0,,,resume
197092,1,0,,,pause
197103,2,0,,,resume
197103,3,0,,,pause
197103,3,0,,,resume
197186,1,0,,,resume
197186,2,0,,,pause
197186,1,0,,,pause
197269,3,0,,,pause
197269,2,0,,,resume
197269,1,0,,,resume
197269,2,0,,,pause
197269,1,0,,,pause
197269,2,0,,,resume
197330,2,0,,,pause
197352,3,0,,,resume
197352,3,0,,,pause
197352,3,0,,,resume
197363,1,0,,,resume
197424,1,0,,,pause
197435,2,0,,,resume
197435,3,0,,,pause
197435,2,0,,,pause
197446,3,0,,,resume
197579,3,0,,,pause
197601,2,0,,,resume
197601,2,0,,,pause
197662,3,0,,,resume
197745,3,0,,,pause
199012,0,0,,,resume
199189,2,0,,,resume
199261,1,0,,,resume
199676,3,0,,,resume
204230,0,0,,,pause
204324,2,0,,,pause
204324,0,0,,,resume
204324,2,0,,,resume
204490,0,0,,,pause
204490,0,0,,,resume
204573,2,0,,,pause
204573,2,0,,,resume
204645,0,0,,,pause
204645,0,0,,,resume
204645,0,0,,,pause
204728,2,0,,,pause
204728,0,0,,,resume
204728,2,0,,,resume
204728,0,0,,,pause
204811,2,0,,,pause
204811,2,0,,,resume
204822,2,0,,,pause
204822,0,0,,,resume
204822,2,0,,,resume
204822,0,0,,,pause
204905,2,0,,,pause
204999,0,0,,,resume
205060,1,0,,,pause
205060,1,0,,,resume
205082,2,0,,,resume
205143,0,0,,,pause
205154,3,0,,,pause
205154,3,0,,,resume
205226,2,0,,,pause
205320,1,0,,,pause
205320,1,0,,,resume
205403,3,0,,,pause
205403,1,0,,,pause
205403,3,0,,,resume
205414,1,0,,,resume
205475,1,0,,,pause
205486,3,0,,,pause
205497,3,0,,,resume
205558,3,0,,,pause
205558,1,0,,,resume
205558,1,0,,,pause
205558,1,0,,,resume
205641,1,0,,,pause
205652,3,0,,,resume
205652,3,0,,,pause
205652,3,0,,,resume
205735,3,0,,,pause
205890,1,0,,,resume
205890,1,0,,,pause
205984,3,0,,,resume
205984,3,0,,,pause
206980,0,0,,,resume
207074,2,0,,,resume
207561,1,0,,,resume
207644,3,0,,,resume
212541,3,0,,,pause
212541,3,0,,,resume
212696,1,0,,,pause
212696,1,0,,,resume
212707,3,0,,,pause
212718,3,0,,,resume
212779,3,0,,,pause
212779,0,0,,,pause
212779,0,0,,,resume
212790,2,0,,,pause
212790,2,0,,,resume
212862,1,0,,,pause
212873,3,0,,,resume
212873,3,0,,,pause
212945,0,0,,,pause
212956,2,0,,,pause
212956,1,0,,,resume
212956,3,0,,,resume
212956,1,0,,,pause
212956,3,0,,,pause
212956,1,0,,,resume
213028,0,0,,,resume
213028,0,0,,,pause
213039,2,0,,,resume
213039,1,0,,,pause
213039,2,0,,,pause
213039,2,0,,,resume
213122,0,0,,,resume
213122,3,0,,,resume
213122,1,0,,,resume
213122,2,0,,,pause
213122,0,0,,,pause
213122,3,0,,,pause
213122,1,0,,,pause
213205,2,0,,,resume
213205,0,0,,,resume
213205,2,0,,,pause
213205,0,0,,,pause
213288,1,0,,,resume
213288,1,0,,,pause
213299,0,0,,,resume
213360,0,0,,,pause
213360,2,0,,,resume
213443,2,0,,,pause
214948,3,0,,,resume
215042,1,0,,,resume
215125,2,0,,,resume
215197,0,0,,,resume
220177,2,0,,,pause
220177,2,0,,,resume
220343,1,0,,,pause
220343,1,0,,,resume
220415,2,0,,,pause
220415,2,0,,,resume
220498,2,0,,,pause
220498,2,0,,,resume
220581,1,0,,,pause
220581,2,0,,,pause
220581,1,0,,,resume
220581,2,0,,,resume
220592,2,0,,,pause
220664,1,0,,,pause
220664,1,0,,,resume
220747,1,0,,,pause
220747,1,0,,,resume
220758,3,0,,,pause
220758,0,0,,,pause
220758,2,0,,,resume
220758,0,0,,,resume
220758,2,0,,,pause
220830,1,0,,,pause
220841,3,0,,,resume
220924,1,0,,,resume
220924,0,0,,,pause
220924,3,0,,,pause
220924,1,0,,,pause
220935,0,0,,,resume
220996,0,0,,,pause
221007,3,0,,,resume
221007,3,0,,,pause
221007,3,0,,,resume
221079,3,0,,,pause
221090,0,0,,,resume
221090,0,0,,,pause
221173,3,0,,,resume
221173,0,0,,,resume
221173,3,0,,,pause
221173,0,0,,,pause
221267,0,0,,,resume
221328,0,0,,,pause
221339,3,0,,,resume
221339,3,0,,,pause
222750,2,0,,,resume
222916,1,0,,,resume
222927,3,0,,,resume
223165,0,0,,,resume
228062,3,0,,,pause
228062,1,0,,,pause
228062,3,0,,,resume
228062,1,0,,,resume
228228,1,0,,,pause
228228,3,0,,,pause
228311,1,0,,,resume
228311,3,0,,,resume
228311,1,0,,,pause
228311,3,0,,,pause
228311,1,0,,,resume
228311,3,0,,,resume
228394,3,0,,,pause
228394,1,0,,,pause
228405,1,0,,,resume
228477,2,0,,,pause
228477,3,0,,,resume
228477,3,0,,,pause
228477,2,0,,,resume
228549,1,0,,,pause
228632,1,0,,,resume
228632,1,0,,,pause
228643,2,0,,,pause
228643,3,0,,,resume
228643,3,0,,,pause
228726,2,0,,,resume
228726,2,0,,,pause
228726,2,0,,,resume
228809,2,0,,,pause
228892,2,0,,,resume
228892,2,0,,,pause
228964,0,0,,,pause
229058,0,0,,,resume
229058,2,0,,,resume
229058,2,0,,,pause
229141,0,0,,,pause
229224,0,0,,,resume
229224,0,0,,,pause
229224,0,0,,,resume
229296,0,0,,,pause
229379,0,0,,,resume
229379,0,0,,,pause
229545,0,0,,,resume
229545,0,0,,,pause
230458,3,0,,,resume
230635,1,0,,,resume
230812,2,0,,,resume
231144,0,0,,,resume
235864,2,0,,,pause
235864,2,0,,,resume
236030,3,0,,,pause
236030,3,0,,,resume
236113,1,0,,,pause
236113,1,0,,,resume
236174,2,0,,,pause
236174,2,0,,,resume
236196,2,0,,,pause
236279,0,0,,,pause
236279,3,0,,,pause
236279,2,0,,,resume
236279,0,0,,,resume
236279,2,0,,,pause
236362,1,0,,,pause
236362,3,0,,,resume
236362,2,0,,,resume
236362,1,0,,,resume
236362,3,0,,,pause
236362,2,0,,,pause
236362,2,0,,,resume
236445,1,0,,,pause
236445,3,0,,,resume
236445,2,0,,,pause
236445,3,0,,,pause
236456,1,0,,,resume
236517,1,0,,,pause
236528,0,0,,,pause
236528,3,0,,,resume
236528,0,0,,,resume
236528,3,0,,,pause
236528,3,0,,,resume
236589,3,0,,,pause
236611,1,0,,,resume
236611,1,0,,,pause
236611,1,0,,,resume
236672,2,0,,,resume
236683,0,0,,,pause
236683,0,0,,,resume
236694,2,0,,,pause
236694,1,0,,,pause
236766,0,0,,,pause
236766,0,0,,,resume
236777,0,0,,,pause
236777,0,0,,,resume
236860,3,0,,,resume
236860,0,0,,,pause
236860,3,0,,,pause
236943,1,0,,,resume
236943,1,0,,,pause
237037,0,0,,,resume
237181,0,0,,,pause
238282,2,0,,,resume
238520,3,0,,,resume
238603,1,0,,,resume
239029,0,0,,,resume
243240,2,0,,,pause
243240,2,0,,,resume
243417,2,0,,,pause
243417,2,0,,,resume
243500,2,0,,,pause
243583,2,0,,,resume
243583,2,0,,,pause
243594,2,0,,,resume
243666,3,0,,,pause
243666,3,0,,,resume
243738,2,0,,,pause
243738,2,0,,,resume
243749,1,0,,,pause
243749,1,0,,,resume
243821,2,0,,,pause
243904,3,0,,,pause
243987,1,0,,,pause
243998,3,0,,,resume
243998,2,0,,,resume
243998,3,0,,,pause
243998,2,0,,,pause
244081,1,0,,,resume
244081,3,0,,,resume
244081,1,0,,,pause
244081,3,0,,,pause
244164,1,0,,,resume
244164,3,0,,,resume
244164,1,0,,,pause
244164,3,0,,,pause
244164,3,0,,,resume
244247,1,0,,,resume
244247,3,0,,,pause
244247,1,0,,,pause
244247,1,0,,,resume
244319,0,0,,,pause
244319,0,0,,,resume
244330,1,0,,,pause
244496,3,0,,,resume
244496,0,0,,,pause
244496,3,0,,,pause
244496,0,0,,,resume
244579,1,0,,,resume
244579,0,0,,,pause
244579,1,0,,,pause
244662,0,0,,,resume
244662,0,0,,,pause
244673,0,0,,,resume
244817,0,0,,,pause
244817,0,0,,,resume
244900,0,0,,,pause
245077,0,0,,,resume
245077,0,0,,,pause
245907,2,0,,,resume
246156,3,0,,,resume
246239,1,0,,,resume
246986,0,0,,,resume
251385,3,0,,,pause
251385,3,0,,,resume
251551,3,0,,,pause
251562,3,0,,,resume
251623,3,0,,,pause
