sw_id,port_id,q_id,max_qlen_bytes
8,0,3,112176
8,1,3,207520
8,2,3,66428
8,3,3,166100
9,0,3,4568
9,2,3,145360
9,3,3,66488
10,0,3,4148
10,1,3,4148
11,0,3,4148
11,1,3,4148
