sw_id,port_id,q_id,max_qlen_bytes
8,0,3,157984
8,1,3,299136
8,2,3,307132
8,3,3,344644
9,0,3,315368
9,1,3,128708
9,2,3,793468
9,3,3,182752
10,0,3,4148
10,1,3,4148
11,0,3,4148
11,1,3,4148
