sw_id,port_id,q_id,max_qlen_bytes
8,0,3,145480
8,1,3,236736
8,2,3,269920
8,3,3,186900
9,0,3,232588
9,1,3,66608
9,2,3,718684
9,3,3,87288
10,0,3,4148
10,1,3,4148
11,0,3,4148
11,1,3,4148
