sw_id,port_id,q_id,max_qlen_bytes
4,0,3,4148
4,2,3,12504
4,3,3,12504
5,0,3,4208
5,2,3,49776
5,3,3,60
6,0,3,4148
6,1,3,4148
7,0,3,60
7,1,3,4148
