sw_id,port_id,q_id,max_qlen_bytes
8,0,3,8296
8,1,3,12504
8,2,3,37332
8,3,3,12444
9,0,3,8296
9,1,3,12564
9,2,3,58072
9,3,3,4148
10,0,3,4148
10,1,3,4148
11,0,3,4148
11,1,3,4148
