pair_bytes,config,input_bytes,sim_time_ns,algbw_gbps,pause,resume,max_qlen_bytes,nic_mean_gbps,nic_peak_gbps,paced_pct,unshapeable_pct,nic_interval_ns,qlen_rows,wall_s
4194304,all,402653184,3750000,10307.9,0,0,149472,374.9,401.91,53.6,0.0,10000,0,805.6
16777216,baseline,1610612736,20100000,7692.48,653697,653697,5454620,280.2,404.84,0.0,,50000,0,3399.4
16777216,all,1610612736,28850000,5359.4,1048692,1048692,2275296,194.92,400.58,53.6,0.0,50000,0,4297.5
4096,baseline,393216,8000,4718.59,0,0,43412,382.18,561.6,0.0,,100,1,18.4
4096,noRate,393216,7300,5171.06,0,0,29848,380.3,677.76,0.0,,100,1,12.3
4096,all,393216,7300,5171.06,0,0,29848,380.3,677.76,54.0,,100,1,12.3
16384,baseline,1572864,21500,7023.02,58,58,208960,378.09,667.84,0.0,,100,1,14.0
16384,noRate,1572864,18800,8031.65,0,0,99648,376.14,664.32,0.0,,100,1,12.9
16384,all,1572864,18800,8031.65,0,0,99648,376.14,664.32,53.7,,100,1,12.9
65536,baseline,6291456,68200,8856.01,681,681,510204,351.69,497.76,0.0,,200,1,21.1
65536,noRate,6291456,63000,9586.98,0,0,116256,376.14,498.24,0.0,,200,1,21.9
65536,all,6291456,62800,9617.51,0,0,112104,376.14,498.24,53.7,,200,1,21.8
262144,baseline,25165824,253000,9549.09,5588,5588,1443504,358.3,464.58,0.0,,500,0,57.7
262144,noRate,25165824,242000,9983.14,538,538,307248,369.97,465.02,0.0,,500,0,57.2
262144,all,25165824,238500,10129.6,0,0,149472,374.7,465.02,53.7,,500,0,55.0
1048576,baseline,100663296,1112000,8690.36,34632,34632,2273104,316.91,414.8,0.0,,2000,0,206.5
1048576,noRate,100663296,976000,9901.31,10985,10985,577128,361.59,415.2,0.0,,2000,0,223.2
1048576,all,100663296,942000,10258.7,0,0,149472,375.5,415.2,53.7,,2000,0,192.8
4194304,baseline,402653184,4700000,8224.41,161933,161933,5462916,298.83,404.84,0.0,,10000,0,818.4
4194304,noRate,402653184,6820000,5667.85,223927,223927,1831032,206.44,401.91,0.0,,10000,0,984.5
4194304,all,402653184,3750000,10307.9,0,0,149472,374.9,401.91,53.7,,10000,0,745.4
16777216,baseline,1610612736,20100000,7692.48,653697,653697,5454620,280.2,404.84,0.0,,50000,0,3292.1
16777216,noRate,1610612736,29050000,5322.51,1074973,1074973,2507808,193.58,400.58,0.0,,50000,0,4082.4
16777216,all,1610612736,29100000,5313.36,1050062,1050062,2482896,193.25,400.58,53.7,,50000,0,4441.0
