input_bytes simulated_time_ns
768 2142
1536 2177
3072 2247
6144 2394
12288 2681
24576 3255
49152 4403
98304 6692
196608 11284
393216 20468
786432 38822
1572864 75537
3145728 148974
6291456 295841
12582912 589568
25165824 1177029
50331648 2351958
100663296 4701809
201326592 9401504
402653184 18800904
805306368 37599709
1610612736 75197311
