input_bytes simulated_time_ns
1024 8508
2048 8854
4096 9326
8192 10278
16384 12174
32768 16072
65536 23940
131072 39676
262144 71124
524288 134044
1048576 259884
2097152 511540
4194304 1014856
8388608 2021484
16777216 4034740
33554432 8061276
67108864 16114348
134217728 32220470
268435456 64432714
536870912 128857224
1073741824 257706246
